"Area","Item","RouteOrPath","Type","BaselineState","FinalState","Evidence","Notes"
"Master setup","Item Groups / Categories","/masters/item-groups","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/ItemMasterPages.tsx; docs/codex-review-screens/WS03/item-group-category-top.png","Governed item grouping screen remains available with truthful actions."
"Master setup","Item Attributes","/masters/item-attributes","Screen/API/DB","PARTIAL","COMPLETE","src/web/src/pages/ItemMasterPages.tsx; src/server/STS.Mfg.Api/Controllers/MeasurementItemControllers.cs; database/ddl/10-master-data/040_item_attribute_value_set_tables.sql","Allowed-value maintenance is now inspectable, editable, and persisted through API in live sessions."
"Master setup","Item Master","/masters/items","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/ItemMasterPages.tsx; docs/codex-review-screens/WS03/item-master-modal-overview.png","Create workspace uses governed selectors and numeric controls."
"Master setup","Item Variants / Barcodes","/masters/item-variants; /masters/barcodes","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/ItemMasterPages.tsx","Dependent governed item/UOM/attribute selectors remain controlled."
"Partner master","Customers","/partners/customers","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/PartnerPages.tsx; docs/codex-review-screens/WS03/customer-master-top.png","Customer create/edit stays governed for commercial terms and classification fields."
"Partner master","Suppliers","/partners/suppliers","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/PartnerPages.tsx; docs/codex-review-screens/WS03/supplier-master-top.png","Supplier create/edit stays governed for commercial terms and source fields."
"Measurement","UOM Classes","/measurements/uom-classes","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/MeasurementPages.tsx; docs/codex-review-screens/WS03/uom-classes-top.png","No unrestricted numeric-as-text controls in touched UOM setup."
"Measurement","UOM Conversions","/measurements/uom-conversions","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/MeasurementPages.tsx; docs/codex-review-screens/WS03/uom-conversions-top.png","Source/target UOM and conversion factor controls remain governed."
"Measurement","Measurement Profiles","/measurements/profiles","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/MeasurementPages.tsx; docs/codex-review-screens/WS03/measurement-profiles-top.png","Profile dimensions and precision fields remain numeric/governed."
"Resource setup","Work Centers","/resources/work-centers","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/ResourceFoundationPages.tsx; docs/codex-review-screens/WS03/work-centers-top.png","Capacity and cycle-related fields remain numeric controls."
"Resource setup","Machines","/resources/machines","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/ResourceFoundationPages.tsx; docs/codex-review-screens/WS03/machines-top.png","Work-center assignment remains governed."
"Resource setup","Tools / Resources","/resources/tools","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/ResourceFoundationPages.tsx; docs/codex-review-screens/WS03/tools-resources-top.png","Tool type and compatibility selectors remain governed."
"Commercial foundation","Price Lists","/commercial/price-lists","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/CommercialMasterPages.tsx; docs/codex-review-screens/WS03/price-list-modal-overview.png","Money, quantity, date, currency, tax, discount, and UOM fields stay controlled."
"Commercial foundation","Discount Schemes","/commercial/discount-schemes","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/CommercialMasterPages.tsx; docs/codex-review-screens/WS03/discount-scheme-modal-overview.png","Break values, percentages, dates, currency, and applicability fields stay controlled."
"Commercial foundation","Tax / Currency / Terms","/commercial/tax-currency-terms","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/CommercialMasterPages.tsx; docs/codex-review-screens/WS03/tax-currency-terms-top.png","Tax rate, exchange rate, precision, and terms fields stay controlled."
"Database","Item attribute value-set tables","database/ddl/10-master-data/040_item_attribute_value_set_tables.sql","DDL","MISSING","COMPLETE","database/ddl/10-master-data/040_item_attribute_value_set_tables.sql","Forward-only additive schema for item attribute headers and allowed values."
"Seed data","Item attribute allowed values","database/seed/003_minimum_masters_seed.sql","Seed","PARTIAL","COMPLETE","database/seed/003_minimum_masters_seed.sql","Minimum master seed now includes THICKNESS and FINISH allowed values."
