"Screen","Route","Field","BaselineState","FinalState","ControlType","LookupSource","Notes"
"Item Attributes","/masters/item-attributes","Data type","PARTIAL","COMPLETE","ErpLookupField","Attribute data type list","No unrestricted text for data type."
"Item Attributes","/masters/item-attributes","Allowed value code","DISABLED VALUE SET","COMPLETE","Text input with validation","Item attribute value set","Editable inside centered modal workspace."
"Item Attributes","/masters/item-attributes","Allowed value name","DISABLED VALUE SET","COMPLETE","Text input with validation","Item attribute value set","Editable inside centered modal workspace."
"Item Attributes","/masters/item-attributes","Allowed value sort order","NUMERIC TRUTH GAP","COMPLETE","ErpNumberField","","No numeric-as-text control remains for sort order."
"Item Attributes","/masters/item-attributes","Allowed value status","FREE TEXT RISK","COMPLETE","ErpLookupField","Active / Draft / Inactive","Status selector is governed."
"Item Master","/masters/items","Category, subcategory, product family, business segment, reporting bucket, UOM","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpLookupField","Master setup lists","Dependent fields remain governed."
"Item Master","/masters/items","Weights and dimensions","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpNumberField / ErpDecimalField","","Numeric fields remain numeric controls."
"UOM Conversions","/measurements/uom-conversions","Source UOM, target UOM, conversion factor","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpLookupField / ErpDecimalField","UOM master","No unrestricted conversion text fields."
"Measurement Profiles","/measurements/profiles","Precision, decimal places, dimensions","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpNumberField / ErpDecimalField","","Numeric profile controls remain governed."
"Resources","/resources/work-centers","Capacity and cycle controls","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpNumberField / ErpDecimalField","","No unrestricted numeric capacity fields in touched screens."
"Commercial","/commercial/price-lists","Unit price, list price, MOQ, currency, tax, discount, UOM","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpMoneyField / ErpNumberField / ErpLookupField","Commercial and master setup lists","No unrestricted price/quantity selectors in touched screens."
"Commercial","/commercial/discount-schemes","Discount percent, amount, quantity/value breaks, currency","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpDecimalField / ErpMoneyField / ErpLookupField","Commercial setup lists","No unrestricted discount numeric fields in touched screens."
"Commercial","/commercial/tax-currency-terms","Tax percent, exchange rate, precision, payment/trade terms","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpDecimalField / ErpNumberField / ErpLookupField","Tax, currency, terms masters","No unrestricted rate/term fields in touched screens."
