"Screen","Route","Action","BaselineState","FinalState","Evidence","ReasonIfDisabled"
"Item Attributes","/masters/item-attributes","New attribute draft","WORKING","WORKING","src/web/src/pages/ItemMasterPages.tsx; docs/codex-review-screens/WS03/new-attribute-modal-overview.png",""
"Item Attributes","/masters/item-attributes","Open attribute edit workspace","WORKING","WORKING","src/web/src/pages/ItemMasterPages.tsx",""
"Item Attributes","/masters/item-attributes","Add allowed value","DISABLED WITH REASON","WORKING","src/web/src/pages/ItemMasterPages.tsx; src/web/src/pages/PromptP084P089Pages.test.tsx",""
"Item Attributes","/masters/item-attributes","Remove allowed value","MISSING","WORKING","src/web/src/pages/ItemMasterPages.tsx",""
"Item Attributes","/masters/item-attributes","Save attribute draft","DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/ItemMasterPages.tsx; src/web/src/masters/masterDataAdapters.ts","Works in live authenticated sessions through /api/item-attributes; disabled in demo/no-live sessions with sign-in reason."
"Item Master","/masters/items","New item draft","WORKING","WORKING","src/web/src/pages/ItemMasterPages.tsx; docs/codex-review-screens/WS03/item-master-modal-overview.png",""
"Price Lists","/commercial/price-lists","New price list","WORKING","WORKING","src/web/src/pages/CommercialMasterPages.tsx; docs/codex-review-screens/WS03/price-list-modal-overview.png",""
"Discount Schemes","/commercial/discount-schemes","New discount scheme","WORKING","WORKING","src/web/src/pages/CommercialMasterPages.tsx; docs/codex-review-screens/WS03/discount-scheme-modal-overview.png",""
"Measurement","/measurements/uom-conversions","Save conversion","WORKING","WORKING","src/web/src/pages/MeasurementPages.tsx",""
"Resources","/resources/work-centers","Save work center","WORKING","WORKING","src/web/src/pages/ResourceFoundationPages.tsx",""
"Resources","/resources/machines","Save machine","WORKING","WORKING","src/web/src/pages/ResourceFoundationPages.tsx",""
"Resources","/resources/tools","Save tool/resource","WORKING","WORKING","src/web/src/pages/ResourceFoundationPages.tsx",""
