"Area","Item","RouteOrPath","Type","BaselineState","FinalState","Evidence","Notes"
"Production","Work Orders","/production/work-orders","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/work-orders-top.png","Work-order list and guarded downstream actions remain inspectable and action-truth compliant."
"Production","Job Cards","/production/job-cards","Screen/API client","PARTIAL","COMPLETE","src/web/src/pages/OperationsPages.tsx; src/web/src/pages/WS05ProductionShopFloor.test.tsx; docs/codex-review-screens/WS05/job-cards-top.png; docs/codex-review-screens/WS05/job-card-execution-modal-top.png","Job-card detail now opens from route context and supports live start/resume/pause/log quantity/complete execution actions with governed controls."
"Production","Machine Board","/production/machine-board","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/machine-board-top.png","Board remains read/inspect workflow with no dead visible action added."
"Production","Occupancy Calendar","/production/occupancy","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/occupancy-calendar-top.png","Date filters and capacity context remain governed and usable."
"Production","Shift Production","/production/shift-production","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/shift-production-top.png","Shift metrics remain inspectable with future posting guarded by explicit reasons."
"Production","Downtime Register","/production/downtime","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/downtime-register-top.png","Downtime context remains governed and routable from job cards."
"Production","Production Receipts","/production/receipts","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/production-receipts-top.png","Receipt screens remain inspectable with unsupported postings disabled with reasons."
"Production","Scrap / By-products","/production/scrap-by-products","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/scrap-by-products-top.png","Scrap and by-product quantities remain governed and non-dead."
"Production","Rework Orders","/production/rework-orders","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/rework-orders-top.png","Rework workflows remain inspectable with unsupported lifecycle writes guarded."
"Production","Machine Status","/production/machine-status","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS05/machine-status-top.png","Machine status dashboard remains route-valid and action-truth compliant."
"Inventory","Material Issue","/inventory/material-issue","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/InventoryPages.tsx; docs/codex-review-screens/WS05/material-issue-top.png","Material issue screen remains governed for item/location/quantity context."
"Inventory","Material Return","/inventory/material-return","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/InventoryPages.tsx; docs/codex-review-screens/WS05/material-return-top.png","Return workflow remains inspectable with governed fields and explicit disabled states where posting is deferred."
"Inventory","Traceability","/inventory/traceability","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/InventoryPages.tsx; docs/codex-review-screens/WS05/traceability-top.png","Traceability screen remains read/inspect and truthful."
"Host publish","IIS web assets","src/server/STS.Mfg.Host/wwwroot","Publish output","STALE FROM PRIOR BUILD","COMPLETE","src/server/STS.Mfg.Host/wwwroot/index.html; src/server/STS.Mfg.Host/wwwroot/assets/index-CO7Dw67p.js","Publish-folder web assets refreshed through npm build:host and dotnet publish."
