"Screen","Route","Action","BaselineState","FinalState","Evidence","ReasonIfDisabled"
"Job Cards","/production/job-cards","Open linked job card from route context","GENERIC CONTEXT RISK","WORKING","src/web/src/pages/OperationsPages.tsx; src/web/src/pages/WS05ProductionShopFloor.test.tsx; docs/codex-review-screens/WS05/job-card-execution-modal-top.png",""
"Job Cards","/production/job-cards","Start","MISSING","WORKING OR DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts","Works in live authenticated sessions through /api/job-cards/{id}/start; disabled in demo/no-live or invalid status states."
"Job Cards","/production/job-cards","Resume","MISSING","WORKING OR DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts","Works in live authenticated sessions through /api/job-cards/{id}/resume; disabled unless the card is paused and live."
"Job Cards","/production/job-cards","Pause","DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts","Works in live authenticated sessions through /api/job-cards/{id}/pause with a governed pause reason; disabled when reason or live session is missing."
"Job Cards","/production/job-cards","Log quantity","MISSING","WORKING OR DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts","Works in live authenticated sessions through /api/job-cards/{id}/quantities; disabled until started and quantity input is valid."
"Job Cards","/production/job-cards","Complete","DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx; src/web/src/api/http.ts; src/web/src/pages/WS05ProductionShopFloor.test.tsx","Works in live authenticated sessions through /api/job-cards/{id}/complete; disabled in demo/no-live or completed/cancelled states."
"Job Cards","/production/job-cards","Add reject","DEAD OR AMBIGUOUS","HIDDEN","src/web/src/pages/OperationsPages.tsx","Replaced by governed reject/scrap quantity inputs in the working Log quantity action."
"Job Cards","/production/job-cards","Record downtime","WORKING","WORKING","src/web/src/pages/OperationsPages.tsx","Navigates to downtime register with selected job-card context."
"Job Cards","/production/job-cards","Open QC","WORKING","WORKING","src/web/src/pages/OperationsPages.tsx","Navigates to quality inspection with selected job-card context."
"Work Orders","/production/work-orders","Release / generate job cards","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx","Full release/generation workflow remains guarded outside the WS05 job-card execution closure slice."
"Production Receipts","/production/receipts","Post receipt","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx","Posting remains disabled until inventory cost/posting workflow is approved."
"Scrap / By-products","/production/scrap-by-products","Post scrap or by-product","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx","Posting remains disabled until accounting/inventory settlement workflow is approved."
"Rework Orders","/production/rework-orders","Release / close rework","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/OperationsPages.tsx","Lifecycle writes remain guarded by explicit business reason."
"Material Issue","/inventory/material-issue","Post issue","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/InventoryPages.tsx","Posting remains disabled where live inventory transaction workflow is outside this WS05 slice."
"Material Return","/inventory/material-return","Post return","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/InventoryPages.tsx","Posting remains disabled where live inventory transaction workflow is outside this WS05 slice."
