"Screen","Route","Field","BaselineState","FinalState","ControlType","LookupSource","Notes"
"Job Cards","/production/job-cards","Assigned machine","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Machine master","Execution workspace shows governed machine selection context and disables updates when assignment is fixed by the job card."
"Job Cards","/production/job-cards","Assigned operator","FREE TEXT / READONLY CONTEXT RISK","COMPLETE","ErpLookupField","Operator/user master","Execution workspace shows governed operator selection context and disables updates when assignment is fixed by the job card."
"Job Cards","/production/job-cards","Good quantity","NUMERIC TRUTH GAP","COMPLETE","ErpDecimalField","","Good production quantity is decimal-governed for live quantity posting."
"Job Cards","/production/job-cards","Reject quantity","NUMERIC TRUTH GAP","COMPLETE","ErpDecimalField","","Reject quantity is captured through governed quantity posting instead of a dead Add reject action."
"Job Cards","/production/job-cards","Scrap quantity","NUMERIC TRUTH GAP","COMPLETE","ErpDecimalField","","Scrap quantity is captured through governed quantity posting."
"Job Cards","/production/job-cards","Execution reason","FREE TEXT RISK","COMPLETE","ErpLookupField","Production execution reason options","Reason codes use governed selector values."
"Job Cards","/production/job-cards","Pause reason","FREE TEXT RISK","COMPLETE","ErpLookupField","Production pause reason options","Pause requires governed reason before the live pause action is enabled."
"Job Cards","/production/job-cards","Supervisor remarks","COMPLETE","COMPLETE","Text area","","Remarks remain optional narrative text, not a governed master-linked or numeric field."
"Occupancy Calendar","/production/occupancy","Date from/to filters","COMPLETE FROM PRIOR WAVE","COMPLETE","Date inputs","","Date filter controls remain non-text date controls."
"Production Receipts","/production/receipts","Receipt quantities","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpDecimalField / governed controls","","Receipt quantities remain measurable controls."
"Scrap / By-products","/production/scrap-by-products","Scrap/by-product quantities","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpDecimalField / governed controls","","Quantities remain decimal-governed."
"Material Issue","/inventory/material-issue","Item/location/quantity fields","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpLookupField / ErpDecimalField","Item and warehouse/location masters","No touched governed material field remains unrestricted text."
"Material Return","/inventory/material-return","Item/location/quantity fields","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpLookupField / ErpDecimalField","Item and warehouse/location masters","No touched governed return field remains unrestricted text."
