"Area","Item","RouteOrPath","Type","BaselineState","FinalState","Evidence","Notes"
"Engineering","BOM Library","/engineering/boms","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringPages.tsx; docs/codex-review-screens/WS04/bom-library-top.png; docs/codex-review-screens/WS04/bom-draft-modal-overview.png","BOM draft workspace remains centered, governed, and action-truth compliant."
"Engineering","BOM Detail / Editor","/engineering/bom-editor","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringContinuationPages.tsx; docs/codex-review-screens/WS04/bom-editor-top.png","Deep BOM editor uses governed item/UOM/revision controls and truthful save/release action states."
"Engineering","BOM Comparison","/engineering/bom-comparison","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringContinuationPages.tsx; docs/codex-review-screens/WS04/bom-comparison-top.png","Comparison screen remains read/inspect workflow with non-dead actions."
"Engineering","ECO / Revision Control","/engineering/eco-revisions","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringContinuationPages.tsx; docs/codex-review-screens/WS04/eco-revisions-top.png","ECO lifecycle actions remain working or disabled with explicit business reasons."
"Engineering","Routing Library","/engineering/routings","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringContinuationPages.tsx; docs/codex-review-screens/WS04/routing-library-top.png","Routing create/clone/edit workspaces remain centered/full-page and governed."
"Engineering","Operation Standards","/engineering/operations","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringContinuationPages.tsx; docs/codex-review-screens/WS04/operation-standards-top.png","Setup/run/cycle time fields remain numeric controls."
"Engineering","Alternate Item / Replacement Rules","/engineering/alternate-items","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringContinuationPages.tsx; docs/codex-review-screens/WS04/alternate-items-top.png","Item selectors and replacement conditions remain governed."
"Engineering","Engineering Documents","/engineering/documents","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/EngineeringContinuationPages.tsx; docs/codex-review-screens/WS04/engineering-documents-top.png","Document actions remain routed through existing attachment truth states."
"Planning","MPS Planner","/planning/mps","Screen/API client","PARTIAL","COMPLETE","src/web/src/pages/CommercialPlanningPages.tsx; src/web/src/commercial/commercialPlanningAdapters.ts; docs/codex-review-screens/WS04/mps-planner-top.png; docs/codex-review-screens/WS04/mps-draft-modal-overview.png","New MPS draft now opens an inspectable centered workspace and saves through existing live /api/mps create/update endpoints."
"Planning","MRP Run Console","/planning/mrp","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/PlanningPages.tsx; docs/codex-review-screens/WS04/mrp-run-console-top.png; docs/codex-review-screens/WS04/mrp-run-modal-overview.png","Run workspace remains centered and truthful for live-session execution prerequisites."
"Planning","MRP Results / Exceptions","/planning/mrp-results","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/PlanningPages.tsx; docs/codex-review-screens/WS04/mrp-results-top.png","Exception actions remain selectable or disabled with clear conversion/export reasons."
"Planning","BOQ / Requirements","/planning/boq-requirements","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/PlanningPages.tsx; docs/codex-review-screens/WS04/boq-requirements-top.png","Requirement rows and actions remain governed and non-dead."
"Planning","Capacity Planning Board","/planning/capacity","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/PlanningContinuationPages.tsx; docs/codex-review-screens/WS04/capacity-planning-top.png","Capacity numeric load fields and board actions remain controlled/truthful."
"Planning","Available to Promise","/sales/available-to-promise","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/CommercialPlanningPages.tsx; docs/codex-review-screens/WS04/available-to-promise-top.png","ATP remains an inspectable planning signal screen with deferred what-if/export actions disabled with reason."
"Production Planning","Machine Schedule Board","/production/machine-board","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS04/machine-board-top.png","Board stays read/inspect for planning context with no dead visible action added."
"Production Planning","Occupancy Calendar","/production/occupancy","Screen","COMPLETE FROM PRIOR WAVE","COMPLETE","src/web/src/pages/OperationsPages.tsx; docs/codex-review-screens/WS04/occupancy-calendar-top.png","Date filters use date controls and calendar remains inspectable."
"Host publish","IIS web assets","src/server/STS.Mfg.Host/wwwroot","Publish output","STALE FROM PRIOR BUILD","COMPLETE","src/server/STS.Mfg.Host/wwwroot/index.html; src/server/STS.Mfg.Host/wwwroot/assets/index-DwTMGqUE.js","Refreshed through npm build:host and dotnet publish."
