"Screen","Route","Action","BaselineState","FinalState","Evidence","ReasonIfDisabled"
"MPS Planner","/planning/mps","New MPS draft","DISABLED WITH REASON","WORKING","src/web/src/pages/CommercialPlanningPages.tsx; docs/codex-review-screens/WS04/mps-draft-modal-overview.png",""
"MPS Planner","/planning/mps","Save MPS draft","DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/CommercialPlanningPages.tsx; src/web/src/commercial/commercialPlanningAdapters.ts; src/web/src/pages/WS04EngineeringPlanning.test.tsx","Works in live authenticated sessions through /api/mps; disabled in demo/no-live sessions with live sign-in reason."
"MPS Planner","/planning/mps","Add schedule line","MISSING","WORKING","src/web/src/pages/CommercialPlanningPages.tsx",""
"MPS Planner","/planning/mps","Remove schedule line","MISSING","WORKING","src/web/src/pages/CommercialPlanningPages.tsx",""
"MPS Planner","/planning/mps","Export MPS","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/CommercialPlanningPages.tsx","MPS export is pending the approved reporting workflow."
"BOM Library","/engineering/boms","New BOM draft","WORKING","WORKING","src/web/src/pages/EngineeringPages.tsx; docs/codex-review-screens/WS04/bom-draft-modal-overview.png",""
"BOM Library","/engineering/boms","Save draft","WORKING","WORKING","src/web/src/pages/EngineeringPages.tsx",""
"Routing Library","/engineering/routings","New routing","WORKING","WORKING","src/web/src/pages/EngineeringContinuationPages.tsx",""
"Routing Library","/engineering/routings","Clone routing","WORKING OR DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/EngineeringContinuationPages.tsx","Disabled when no selected or cloneable routing exists."
"MRP Run Console","/planning/mrp","Run MRP draft","WORKING OR DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/PlanningPages.tsx; docs/codex-review-screens/WS04/mrp-run-modal-overview.png","Disabled when live signed-in planning session is not available."
"MRP Results","/planning/mrp-results","Open exception","WORKING OR DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/PlanningPages.tsx","Select an MRP exception before opening detail."
"MRP Results","/planning/mrp-results","Create shortage actions","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/PlanningPages.tsx","Shortage conversion requires BOQ approval workflow enablement."
"MRP Results","/planning/mrp-results","Export exceptions","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/PlanningPages.tsx","MRP exception export is pending the approved reporting workflow."
"Available to Promise","/sales/available-to-promise","Run what-if","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/CommercialPlanningPages.tsx","Promise simulation requires ATP workflow enablement."
"Available to Promise","/sales/available-to-promise","Export promise check","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/CommercialPlanningPages.tsx","Promise export is pending the approved reporting workflow."
"Capacity Planning","/planning/capacity","Capacity board actions","WORKING OR DISABLED WITH REASON","WORKING OR DISABLED WITH REASON","src/web/src/pages/PlanningContinuationPages.tsx","Capacity writeback/rebuild remains guarded where full workflow is not enabled."
