"Screen","Route","Field","BaselineState","FinalState","ControlType","LookupSource","Notes"
"MPS Planner","/planning/mps","MPS status","PARTIAL","COMPLETE","ErpLookupField","Draft / Firm","No unrestricted free text status in the touched workspace."
"MPS Planner","/planning/mps","Planning horizon start/end","PARTIAL","COMPLETE","Date inputs","","Header dates use date controls."
"MPS Planner","/planning/mps","Schedule period start/end","PARTIAL","COMPLETE","Date inputs","","Line period dates use date controls."
"MPS Planner","/planning/mps","Schedule item","FREE TEXT RISK","COMPLETE","ErpLookupField","Item master","Schedule lines use governed item selector."
"MPS Planner","/planning/mps","Planning UOM","FREE TEXT RISK","COMPLETE","ErpLookupField","UOM master","Schedule lines use governed UOM selector."
"MPS Planner","/planning/mps","Line number","NUMERIC TRUTH GAP","COMPLETE","ErpNumberField","","Line ordering is numeric, not generic text."
"MPS Planner","/planning/mps","Planned quantity","NUMERIC TRUTH GAP","COMPLETE","ErpDecimalField","","Planned quantity uses decimal control and validation."
"BOM Library / Editor","/engineering/boms; /engineering/bom-editor","BOM item/component/UOM/revision fields","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpLookupField / governed controls","Item and UOM master","No touched governed BOM field remains unrestricted text."
"Routing Library","/engineering/routings","Output item, work center, machine/resource, operation sequence","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpLookupField / ErpNumberField","Item/resource masters","Routing fields remain governed and numeric where measurable."
"Operation Standards","/engineering/operations","Setup/run/cycle minutes","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpNumberField / ErpDecimalField","","Time values remain numeric controls."
"Alternate Items","/engineering/alternate-items","Primary/replacement item and effectivity fields","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpLookupField / date controls","Item master","Item and date fields remain governed."
"MRP Run Console","/planning/mrp","Horizon, bucket, run controls","COMPLETE FROM PRIOR WAVE","COMPLETE","Date controls / ErpLookupField / numeric controls","Planning setup","No touched MRP field remains numeric-as-text."
"Capacity Planning","/planning/capacity","Capacity/load/minutes fields","COMPLETE FROM PRIOR WAVE","COMPLETE","ErpDecimalField / ErpNumberField","","Capacity board numeric fields remain controlled."
"Occupancy Calendar","/production/occupancy","Date from/to filters","COMPLETE FROM PRIOR WAVE","COMPLETE","Date inputs","","Date filter controls remain non-text date controls."
