"Screen","Route","Action","BaselineState","FinalState","Evidence","ReasonIfDisabled"
"Users","/platform/users","Invite user","DISABLED WITH REASON","DISABLED WITH REASON","src/web/src/pages/AdminPages.tsx","External identity invitation delivery is not completed in this repo."
"Users","/platform/users","Export","WORKING","WORKING","src/web/src/pages/AdminPages.tsx",""
"Users","/platform/users","Save access policy","DISABLED WITH REASON plus API support","DISABLED WITH REASON","src/web/src/pages/AdminPages.tsx; PlatformRuntimeControllers.cs","Access policy changes remain approval-controlled in the current web screen."
"Users","/platform/users","Reset access","DISABLED WITH REASON plus API support","DISABLED WITH REASON","src/web/src/pages/AdminPages.tsx; PlatformRuntimeControllers.cs","Reset delivery remains security approval controlled."
"Roles & Permissions","/platform/roles","Create custom role","DISABLED WITH REASON plus API support","DISABLED WITH REASON","src/web/src/pages/AdminPages.tsx; PlatformRuntimeControllers.cs","Custom-role governance approval remains required in current web screen."
"Roles & Permissions","/platform/roles","Clone role","DISABLED WITH REASON plus API support","DISABLED WITH REASON","src/web/src/pages/AdminPages.tsx; PlatformRuntimeControllers.cs","Role cloning remains governance controlled in current web screen."
"Workflow & Numbering","/platform/workflow-numbering","Save workflow draft","DISABLED WITH REASON plus API support","DISABLED WITH REASON","src/web/src/pages/MasterPages.tsx; PlatformRuntimeControllers.cs","Workflow edits remain platform approval controlled in current web screen."
"Tenant Settings","/platform/tenant-settings","Save tenant settings","DISABLED WITH REASON plus API support","DISABLED WITH REASON","src/web/src/pages/MasterPages.tsx; PlatformRuntimeControllers.cs","Tenant policy changes remain approval controlled in current web screen."
"Extensibility","/platform/extensibility","New field","MISSING","WORKING","src/web/src/pages/PlatformExtensibilityPage.tsx",""
"Extensibility","/platform/extensibility","Save definition","MISSING","WORKING OR DISABLED WITH REASON","src/web/src/pages/PlatformExtensibilityPage.tsx","Disabled until required metadata validates."
"Extensibility","/platform/extensibility","Import definitions","MISSING","DISABLED WITH REASON","src/web/src/pages/PlatformExtensibilityPage.tsx","Bulk import requires approved import mapping."
